credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;Precio de compra;Precio_rec;Diferencia;icvs;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
105928;20141121,0;20170930;20240831;84; 35;2502763,12;2502763,12;999;0,000000000000000000000000;0,000000000000000000000000;449331,66999999998;0,0000000000000000;0,000000000000000000000000;ICV360;2502763;70;10945475;0,1563738281786941076;16005000,0000;Vehicular;;449331,66999999998
105952;20141124,0;20170930;20240831;84; 35;18177960,56;18177960,56;999;0,000000000000000000000000;0,000000000000000000000000;3697131,47000000020;0,0000000000000000;0,000000000000000000000000;ICV360;18177960;70;74577199;1,0076474811529929632;18040000,0000;Vehicular;;6491185,37992772181
105963;20141124,0;20171231;20240831;81; 38;9699711,84;9699711,84;999;0,000000000000000000000000;0,000000000000000000000000;3950738,39999999991;0,0000000000000000;0,000000000000000000000000;ICV360;9699711;70;35761322;0,3548458693982073919;27335000,0000;Vehicular;;3950738,39999999991
106082;20141126,0;20171231;20240831;81; 38;24157591,28;24157591,28;999;0,000000000000000000000000;0,000000000000000000000000;6373457,46999999974;0,0000000000000000;0,000000000000000000000000;ICV360;24157591;70;90727678;1,1935568814229249313;20240000,0000;Vehicular;;12078770,48633113317
106120;20141126,0;20171231;20240831;81; 38;17916607,69;17916607,69;999;0,000000000000000000000000;0,000000000000000000000000;3974342,02000000002;0,0000000000000000;0,000000000000000000000000;ICV360;17916607;70;73844388;0,8686840092121212997;20625000,0000;Vehicular;;3974342,02000000002
106254;20141128,0;20180731;20240831;74; 45;18288850,28;17730692,24;999;0,030519033807739324309916;0,004883045409238291612031;755329,52000000002;541842,0313309932826087;0,717358473333589929943344;ICV360;17730692;70;65341740;0,8712870879606878782;20350000,0000;Vehicular;;759017,82834509818
106266;20141128,0;20180731;20240831;74; 45;23981426,35;23981426,35;999;0,000000000000000000000000;0,000000000000000000000000;990432,91000000003;0,0000000000000000;0,000000000000000000000000;ICV360;23981426;70;92881319;1,1237781794751640074;21340000,0000;Vehicular;;1825203,07936906675
106296;20141128,0;20170930;20240831;84; 35;9810310,44;2872323,07;999;0,707213845314358824367673;0,099841954632615359521708;1838815,38999999990;4083826,6936652632430196;2,220900866870199052982571;ICV360;2872323;70;12554554;0,2066419474820143931;13900000,0000;Vehicular;;2022406,31274613459
106316;20141124,0;20170930;20240831;84; 35;20676179,28;20676179,28;999;0,000000000000000000000000;0,000000000000000000000000;2504289,00000000000;0,0000000000000000;0,000000000000000000000000;ICV360;20676179;70;109763828;1,4225097543859650528;14535000,0000;Vehicular;Refinanciacion;5176070,64772610553
106370;20141202,0;20180731;20240831;74; 44;22049748,00;22049748,00;999;0,000000000000000000000000;0,000000000000000000000000;910654,58999999997;0,0000000000000000;0,000000000000000000000000;ICV360;22049748;70;86271794;1,4506413157894739729;15200000,0000;Vehicular;;1901429,46950049326
106385;20141202,0;20180731;20240831;74; 44;19910724,62;19910724,62;999;0,000000000000000000000000;0,000000000000000000000000;2387295,87999999989;0,0000000000000000;0,000000000000000000000000;ICV360;19910724;70;74272578;0,8639932575395964376;23045000,0000;Vehicular;;2387295,87999999989
106386;20141202,0;20180731;20240831;74; 44;10221859,31;10221859,31;999;0,000000000000000000000000;0,000000000000000000000000;1898199,27000000002;0,0000000000000000;0,000000000000000000000000;ICV360;10221859;70;38127999;0,5666219129711751457;18040000,0000;Vehicular;;1898199,27000000002
106421;20141202,0;20170930;20240831;84; 34;29728909,41;29728909,41;999;0,000000000000000000000000;0,000000000000000000000000;5812144,87000000011;0,0000000000000000;0,000000000000000000000000;ICV360;29728909;70;141610828;1,0619363961421679488;27995000,0000;Vehicular;;10441241,00282799266
