credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;Precio de compra;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
214181;20220906,0000000;20231231;20240930;10; 16;34116016,53;34116016,53;452;0,000000000000000000000000;0,000000000000000000000000;15194807,83439669944;34116016;70;50652202;1,39963144738461497951;24375000,0000;Vehicular;;2,04972358553846
214243;20220912,0000000;20240831;20240930;2; 24;70053977,91;70053977,91;18;0,000000000000000000000000;0,000000000000000000000000;31201085,10179639980;70053977;70;77994097;0,53664554609489001358;130540500,0000;Vehicular;;1,00000000000000
214250;20220913,0000000;20240731;20240930;3; 23;45224326,97;45224326,97;17;0,000000000000000000000000;0,000000000000000000000000;20142297,47723510116;45224326;70;46668934;1,10708266756425999233;40850000,0000;Vehicular;;1,83031200067319
214278;20220914,0000000;20230731;20240930;15; 11;58023850,51;58023850,51;594;0,000000000000000000000000;0,000000000000000000000000;25843030,75018670037;58023850;70;98044761;1,45213916060814596243;39957500,0000;Vehicular;;2,08910437045611
214281;20220912,0000000;20230430;20240930;18;  8;10000000,00;10000000,00;719;0,000000000000000000000000;0,000000000000000000000000;4360362,96950383019;10000000;70;17572210;0,28743891922966369190;34790000,0000;Libre Inversion;;1,00000000000000
214287;20220914,0000000;20240331;20240930;7; 19;67366845,68;67366845,68;291;0,000000000000000000000000;0,000000000000000000000000;35774945,00000000000;67366845;70;96116018;0,75799545068917029145;88875000,0000;Vehicular;;1,00000000000000
214327;20220915,0000000;20230930;20240930;13; 13;56029975,34;45823004,91;0;0,182169818352806128780585;0,156145558588119542919870;24954986,04207050055;45823004;70;46321966;0,95914191334379894638;47775000,0000;Vehicular;;1,15614555858812
214339;20220915,0000000;20230430;20240930;18;  8;77841000,00;77841000,00;716;0,000000000000000000000000;0,000000000000000000000000;33941501,39091479778;77841000;70;141690672;1,65004769475357693231;47175000,0000;Vehicular;;2,23753577106518
214342;20220915,0000000;20230731;20240930;15; 11;48545435,88;6286794,43;15;0,870496694158017336739874;0,652872520618512974799330;21621474,09188099951;6286794;70;6240290;0,10536865452381849462;59664750,0000;Vehicular;;1,65287252061851
214370;20220915,0000000;20240731;20240930;3; 23;28182198,36;28182198,36;241;0,000000000000000000000000;0,000000000000000000000000;12551966,29527080059;28182198;70;34598636;1,10518424941176496290;25500000,0000;Vehicular;;1,82888818705882
214398;20220915,0000000;20230531;20240930;17;  9;55449555,35;26361985,37;15;0,524577154792279176653835;0,349718103194852802939607;29186907,04293230176;26361985;70;26993618;0,51996026370808667849;50700000,0000;Vehicular;;1,34971810319485
214414;20220915,0000000;20230930;20240930;13; 13;13530763,33;13035512,71;199;0,036601824148527119240359;0,031372992127308957366338;12885062,66634639911;13035512;70;18588220;0,13483850747349371280;96675000,0000;Vehicular;;1,03137299212731
214441;20220914,0000000;20230731;20240930;15; 11;21759545,53;14803624,26;16;0,319672176076004677103271;0,239754132057003521705241;9691404,31986279972;14803624;70;15325510;0,73925714157303368257;20025000,0000;Libre Inversion;;1,23975413205700
214451;20220919,0000000;20230531;20240930;17;  9;90000000,00;75539818,64;28;0,160668681777777766495063;0,107112454518518501744850;47794208,81235619634;75539818;70;79194767;0,46629517679012338904;162000000,0000;Vehicular;;1,10711245451852
214465;20220919,0000000;20230930;20240930;13; 13;145397462,99;44089808,63;73;0,696763562971986938343605;0,597225911118845931291332;76532665,34902440012;44089808;70;49205049;0,22838543708883710104;193050000,0000;Vehicular;;1,59722591111885
214481;20220822,0000000;20221231;20240930;22;  4;27474936,00;8819398,17;283;0,679002048630795607131461;0,354261938416067234669526;25544323,53437070176;8819398;70;11393129;0,20138370941224831290;43794000,0000;Vehicular;Reestructuracion;1,35426193841607
