credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
74771;20110829,00;20110930;20110930;1;  2;48811213,95;48811213,95;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74896;20110830,00;20110930;20110930;1;  2;45500000,00;45500000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75431;20110824,00;20110930;20110930;1;  1;60322821,00;60322821,00;6;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73191;20110628,00;20111031;20111031;1;  5;58578080,52;58578080,52;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73193;20110629,00;20111031;20111031;1;  5;117150934,30;117150934,30;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74140;20110804,00;20111031;20111031;1;  3;36469275,98;36469275,98;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74217;20110809,00;20111031;20111031;1;  3;31403825,75;31403825,75;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74344;20110812,00;20111031;20111031;1;  3;42850290,54;42850290,54;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74516;20110819,00;20111031;20111031;1;  3;30376959,98;30376959,98;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74559;20110822,00;20111031;20111031;1;  3;39725142,22;39725142,22;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74622;20110824,00;20111031;20111031;1;  3;37703386,11;37703386,11;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74693;20110825,00;20111031;20111031;1;  3;37007069,93;37007069,93;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74803;20110830,00;20111031;20111031;1;  3;30000000,00;30000000,00;1;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74860;20110830,00;20111031;20111031;1;  3;30579166,67;30579166,67;1;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74880;20110829,00;20111031;20111031;1;  3;32916814,71;32916814,71;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74883;20110830,00;20111031;20111031;1;  3;38928995,47;38928995,47;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74912;20110830,00;20111031;20111031;1;  3;34081681,51;34081681,51;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74926;20110830,00;20110930;20111031;2;  1;63000000,00;63000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74959;20110902,00;20111031;20111031;1;  2;52314078,00;52314078,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74976;20110905,00;20111031;20111031;1;  2;45196061,00;45196061,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
