credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;garantia_anterior;LTV_ant;Valoracion_pd
73620;20110719,00;20110930;20110930;1;  3;54600000,00;54600000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73754;20110722,00;20110930;20110930;1;  3;47120465,55;47120465,55;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73781;20110725,00;20110930;20110930;1;  3;51564148,46;51564148,46;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74030;20110729,00;20110930;20110930;1;  2;48625660,98;48625660,98;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74032;20110729,00;20110930;20110930;1;  2;49596482,65;49596482,65;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74080;20110803,00;20110930;20110930;1;  2;60827058,95;60827058,95;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74192;20110808,00;20110930;20110930;1;  2;50000000,00;50000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74264;20110810,00;20110930;20110930;1;  2;45000000,00;45000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74308;20110810,00;20110930;20110930;1;  2;56200000,00;56200000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74335;20110812,00;20110930;20110930;1;  2;68838417,00;68838417,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74374;20110816,00;20110930;20110930;1;  2;60407954,00;60407954,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74456;20110817,00;20110930;20110930;1;  2;49670400,00;49670400,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74462;20110818,00;20110930;20110930;1;  2;70000000,00;70000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74496;20110818,00;20110930;20110930;1;  2;55000000,00;55000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74574;20110823,00;20110930;20110930;1;  2;80000000,00;80000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
